,text,polarity,Sentiment
0,folk said daikon paste could treat cytokine storm pfizerbiontech,0.0,Neutral
1,world wrong side history year hopefully biggest vaccination effort weve ev,-0.5,Negative
2,coronavirus sputnikv astrazeneca pfizerbiontech moderna covid_19 russian vaccine created last 24 year,0.0,Neutral
3,fact immutable senator even youre not ethically sturdy enough acknowledge 1 born,-0.05,Negative
4,explain need vaccine whereareallthesickpeople pfizerbiontech,0.0,Neutral
5,anyone useful adviceguidance whether covid vaccine safe whilst breastfeeding,0.4,Positive
6,bit sad claim fame success vaccination patriotic competition usa canada uk,-0.1,Negative
7,not many bright day 2020 best 1 bidenharris winning election2020,0.48750000000000004,Positive
8,covid vaccine getting covidvaccine covid19 pfizerbiontech moderna,0.0,Neutral
9,covidvaccine state start getting covid19vaccine monday u say pakustv nyc healthcare globalgoals,0.0,Neutral
10,death closing 300000 mark million people wait pfizerbiontech vaccine first u,0.25,Positive
11,covid19 covidvaccine vaccine corona pfizerbiontech bbcnews nytimes bbcnews best wish u,1.0,Positive
12,agency also released new information health care provider patient u shipped million,0.13636363636363635,Positive
13,woman healthcare provider asking safety pfizerbiontech,0.0,Neutral
14,expect 145 site across state receive vaccine monday another 425 site tuesday said offic,0.0,Neutral
15,trump announces vaccine rollout less 24 hour first american vaccinated,0.02777777777777778,Positive
16,updated yellowfever amp covid19 immunitypassports part two sarscov2 pfizerbiontech britain december,0.0,Neutral
17,coronavirus iran report 8201 new case 221 death last 24 hour iran coronavirus pfizerbiontech,0.06818181818181818,Positive
18,rake billion expensive covidvaccine refuse cut price lowe,-0.5,Negative
19,trump administration failed deliver vaccine promise shocker covidiots coronavirus covidvaccine,-0.5,Negative
20,much fda get paid approve sudden money make world go around vaccine,0.1,Positive
21,anyone wondering day pfizerbiontech approval uk people getting vaccinated tol,0.0,Neutral
23,u food drug administration fda granted emergency use authorization pfizerbiontechs mrna,0.0,Neutral
24,presenting top medical newsadvancement past week dont want miss docnosofficial covid19,0.08333333333333333,Positive
25,no1 2 done thankyounhs pfizerbiontech making covidvaccine dream poss,0.0,Neutral
26,wear mask wash hand remain socially distant possible stayhome stayathome stayathomesavelives,-0.05,Negative
